,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,
Alzhiemers,24.27509262,24.77565347,27.10839715,25.75304177,27.04298191,27.27092565,26.64328107,26.81406741,29.33634312,34.39779911,35.9310165,
Cancer,192.3755511,191.5734448,190.7104595,189.7936884,190.985756,189.8919605,190.3957529,189.8317793,190.5992007,190.4701784,189.9658727,
Traffic Accidents,15.98130373,15.29290423,13.78225308,12.47019243,12.06041721,11.96436684,12.18518293,11.76229291,11.66510174,12.34370781,14.20482018,
Diabetes,24.28079006,23.69674799,23.20105227,22.39614616,22.3714974,23.69477383,23.55167039,23.90734115,23.98817858,24.74497293,24.77597753,
Heart Disease,210.7021869,203.5141067,201.8875968,194.4453587,192.6677237,190.2780424,189.7869875,192.0255051,191.2838335,195.6478466,194.8066861,
HIV,4.059589641,3.749611507,3.382178257,3.066125475,2.710646461,2.465725066,2.298718464,2.200052365,2.107841076,2.011394355,1.906368153,
Homicide,6.137477512,6.01730484,5.781107804,5.394894387,5.184852259,5.138130717,5.238058164,5.017890823,4.900314955,5.452387636,5.9119076,
Kidney Disease,0.189355911,0.17727247,0.166724781,0.169507256,0.173605748,0.158219765,0.165969002,0.158163362,0.175313668,0.182005522,0.160927182,0.176532436
Lower Respitory Disease,41.7531459,42.46704758,46.39684301,44.77371171,44.72291353,45.87506678,45.70964714,47.19752885,46.13383873,48.23644116,47.84365112,
OverDose,9.226827575,9.908003987,10.23236351,10.35232967,10.70169312,11.64343426,11.57386908,12.28960955,13.18208244,14.77138146,18.05324451,
Pneumonia Influenza ,18.87727616,17.50051083,18.50875265,17.5022761,16.22598348,17.27451743,16.13053051,18.02398041,17.32030042,17.75316081,15.94943108,
Stroke,27.4894511,26.97828051,26.26063287,24.91952244,24.98011809,24.5089798,24.13112838,23.81940232,23.5917627,23.46875643,22.47874201,
Suicide,11.12910041,11.46328773,11.83022487,12.00958907,12.40892427,12.66014869,12.9130892,12.98964059,13.41102516,13.73659452,13.89018211,
Terrorism,0,0,0,0,0,0,0,0.00094898,0,0.001555603,0,
