Year,Cause,Data
2004,alzheimers,76.9
2005,alzheimers,66.3
2006,alzheimers,61.3
2007,alzheimers,54.7
2008,alzheimers,55
2009,alzheimers,50.2
2010,alzheimers,32.8
2011,alzheimers,37.3
2012,alzheimers,29.6
2013,alzheimers,24
2014,alzheimers,26.6
2015,alzheimers,30.8
2016,alzheimers,34.9
2017,alzheimers,32.3
2018,alzheimers,29.2
2004,cancer,83.1
2005,cancer,81.6
2006,cancer,77.5
2007,cancer,75.3
2008,cancer,74.5
2009,cancer,76.1
2010,cancer,72
2011,cancer,74.8
2012,cancer,75.2
2013,cancer,74.3
2014,cancer,74.1
2015,cancer,76.8
2016,cancer,76.6
2017,cancer,74.8
2018,cancer,77.8
2004,automobile_crashes,56.8
2005,automobile_crashes,39.6
2006,automobile_crashes,36.6
2007,automobile_crashes,23.3
2008,automobile_crashes,19.5
2009,automobile_crashes,19.2
2010,automobile_crashes,12.3
2011,automobile_crashes,10.5
2012,automobile_crashes,7.4
2013,automobile_crashes,7.3
2014,automobile_crashes,8.2
2015,automobile_crashes,8.8
2016,automobile_crashes,10.8
2017,automobile_crashes,10.6
2018,automobile_crashes,9.8
2004,diabetes,91.4
2005,diabetes,89.6
2006,diabetes,84.4
2007,diabetes,80.1
2008,diabetes,77.8
2009,diabetes,77.1
2010,diabetes,75.4
2011,diabetes,73.3
2012,diabetes,72.8
2013,diabetes,73.1
2014,diabetes,74.6
2015,diabetes,76.5
2016,diabetes,73.8
2017,diabetes,75.9
2018,diabetes,76.7
2004,heart_disease,77.5
2005,heart_disease,71.3
2006,heart_disease,63.1
2007,heart_disease,56.3
2008,heart_disease,53.2
2009,heart_disease,55.8
2010,heart_disease,50.9
2011,heart_disease,51.8
2012,heart_disease,52.9
2013,heart_disease,50
2014,heart_disease,51.1
2015,heart_disease,50.8
2016,heart_disease,50.7
2017,heart_disease,53
2018,heart_disease,55.7
2004,homicide,55.2
2005,homicide,51.2
2006,homicide,46.5
2007,homicide,52.8
2008,homicide,54.8
2009,homicide,56
2010,homicide,51
2011,homicide,64
2012,homicide,68.6
2013,homicide,77.2
2014,homicide,78
2015,homicide,79.9
2016,homicide,86.9
2017,homicide,83.2
2018,homicide,84
2004,kidney_disease,53.8
2005,kidney_disease,57.3
2006,kidney_disease,53.8
2007,kidney_disease,53.4
2008,kidney_disease,54.3
2009,kidney_disease,57.8
2010,kidney_disease,57.6
2011,kidney_disease,58.7
2012,kidney_disease,63.2
2013,kidney_disease,63.8
2014,kidney_disease,66.9
2015,kidney_disease,73.3
2016,kidney_disease,76.3
2017,kidney_disease,85.8
2018,kidney_disease,95.1
2004,lower_respiratory_disease,26.2
2005,lower_respiratory_disease,20
2006,lower_respiratory_disease,14.5
2007,lower_respiratory_disease,18.8
2008,lower_respiratory_disease,17.8
2009,lower_respiratory_disease,15.1
2010,lower_respiratory_disease,18.1
2011,lower_respiratory_disease,10.8
2012,lower_respiratory_disease,12.9
2013,lower_respiratory_disease,11.8
2014,lower_respiratory_disease,15.7
2015,lower_respiratory_disease,14.9
2016,lower_respiratory_disease,18
2017,lower_respiratory_disease,21.8
2018,lower_respiratory_disease,21.8
2004,overdose,35.8
2005,overdose,39.3
2006,overdose,36.9
2007,overdose,38.9
2008,overdose,41.9
2009,overdose,45.4
2010,overdose,48.3
2011,overdose,50.2
2012,overdose,49.1
2013,overdose,48.6
2014,overdose,54.1
2015,overdose,51.1
2016,overdose,57.4
2017,overdose,58.3
2018,overdose,64.8
2004,pnuemonia,56.5
2005,pnuemonia,67.5
2006,pnuemonia,67.9
2007,pnuemonia,63.3
2008,pnuemonia,59.2
2009,pnuemonia,44.7
2010,pnuemonia,31.4
2011,pnuemonia,32.3
2012,pnuemonia,25.6
2013,pnuemonia,21
2014,pnuemonia,20.7
2015,pnuemonia,22.5
2016,pnuemonia,23.5
2017,pnuemonia,20.9
2018,pnuemonia,22.8
2004,influenza,16.6
2005,influenza,20.9
2006,influenza,19.3
2007,influenza,14.6
2008,influenza,16.3
2009,influenza,37.3
2010,influenza,10.8
2011,influenza,11.8
2012,influenza,11.4
2013,influenza,14.8
2014,influenza,15.4
2015,influenza,14.4
2016,influenza,13
2017,influenza,18.2
2018,influenza,25
2004,stroke,62.8
2005,stroke,64.3
2006,stroke,60.9
2007,stroke,57.1
2008,stroke,58.5
2009,stroke,57.9
2010,stroke,60
2011,stroke,69.1
2012,stroke,67.3
2013,stroke,68
2014,stroke,70.3
2015,stroke,75.3
2016,stroke,80.8
2017,stroke,82.7
2018,stroke,84.8
2004,suicide,20.7
2005,suicide,21.5
2006,suicide,18.8
2007,suicide,17.7
2008,suicide,17.8
2009,suicide,17
2010,suicide,16.8
2011,suicide,17.2
2012,suicide,18.5
2013,suicide,17.8
2014,suicide,18.6
2015,suicide,22.3
2016,suicide,35.6
2017,suicide,23.1
2018,suicide,21.3
2004,terrorism,77.6
2005,terrorism,54
2006,terrorism,43
2007,terrorism,32.9
2008,terrorism,28.3
2009,terrorism,25.2
2010,terrorism,23.9
2011,terrorism,21.8
2012,terrorism,17.9
2013,terrorism,18.7
2014,terrorism,18.2
2015,terrorism,26.8
2016,terrorism,25.3
2017,terrorism,25
2018,terrorism,15.2
