causes,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
nyt_alzheimers,531,391,361,427,313,302,333,298,303,282,279
nyt_cancer,4941,3055,3352,3504,2563,2487,2526,2250,2187,2184,2031
nyt_automobile_crashes,139,126,132,256,231,144,146,148,295,142,113
nyt_diabetes,"1,141",733,762,779,595,447,536,522,463,450,454
nyt_heart_disease,1436,1004,1019,921,616,574,642,683,609,636,628
nyt_homicide,809,565,422,409,340,362,379,519,614,1728,1467
nyt_kidney_disease,292,197,201,216,133,158,127,121,135,119,120
nyt_lower_respiratory_disease,62,48,24,31,15,15,23,17,23,25,25
nyt_overdose,307,239,239,234,212,195,175,169,249,207,315
nyt_pnuemonia_and_influenza,809,375,377,623,257,211,255,296,264,231,292
nyt_stroke,2878,1654,2068,1734,1418,1439,1554,1363,1151,1070,1044
nyt_suicide,4620,3497,3027,2293,1727,1678,1596,1628,1734,1836,1855
nyt_terrorism,8719,4529,3990,2609,2021,1763,1354,1692,2072,3131,2925
cdc_alzhiemers,24.27509262,24.77565347,27.10839715,25.75304177,27.04298191,27.27092565,26.64328107,26.81406741,29.33634312,34.39779911,35.9310165
cdc_cancer,192.3755511,191.5734448,190.7104595,189.7936884,190.985756,189.8919605,190.3957529,189.8317793,190.5992007,190.4701784,189.9658727
cdc_automobile_accident,15.98130373,15.29290423,13.78225308,12.47019243,12.06041721,11.96436684,12.18518293,11.76229291,11.66510174,12.34370781,14.20482018
cdc_diabetes,24.28079006,23.69674799,23.20105227,22.39614616,22.3714974,23.69477383,23.55167039,23.90734115,23.98817858,24.74497293,24.77597753
cdc_heart_disease,210.7021869,203.5141067,201.8875968,194.4453587,192.6677237,190.2780424,189.7869875,192.0255051,191.2838335,195.6478466,194.8066861
cdc_homicide,6.137477512,6.01730484,5.781107804,5.394894387,5.184852259,5.138130717,5.238058164,5.017890823,4.900314955,5.452387636,5.9119076
cdc_kidney_disease,0.189355911,0.17727247,0.166724781,0.169507256,0.173605748,0.158219765,0.165969002,0.158163362,0.175313668,0.182005522,0.160927182
cdc_lower_respitory_disease,41.7531459,42.46704758,46.39684301,44.77371171,44.72291353,45.87506678,45.70964714,47.19752885,46.13383873,48.23644116,47.84365112
cdc_overdose,9.226827575,9.908003987,10.23236351,10.35232967,10.70169312,11.64343426,11.57386908,12.28960955,13.18208244,14.77138146,18.05324451
cdc_pneumonia_and_influenza ,18.87727616,17.50051083,18.50875265,17.5022761,16.22598348,17.27451743,16.13053051,18.02398041,17.32030042,17.75316081,15.94943108
cdc_stroke,27.4894511,26.97828051,26.26063287,24.91952244,24.98011809,24.5089798,24.13112838,23.81940232,23.5917627,23.46875643,22.47874201
cdc_suicide,11.12910041,11.46328773,11.83022487,12.00958907,12.40892427,12.66014869,12.9130892,12.98964059,13.41102516,13.73659452,13.89018211
cdc_terrorism,0,0,0,0,0,0,0,0.00094898,0,0.001555603,0
