causes,year,cdc,nyt,ggl
alzhiemers,2006,24.27509262,531,61.3
alzhiemers,2007,24.77565347,391,54.7
alzhiemers,2008,27.10839715,361,55
alzhiemers,2009,25.75304177,427,50.2
alzhiemers,2010,27.04298191,313,32.8
alzhiemers,2011,27.27092565,302,37.3
alzhiemers,2012,26.64328107,333,29.6
alzhiemers,2013,26.81406741,298,24
alzhiemers,2014,29.33634312,303,26.6
alzhiemers,2015,34.39779911,282,30.8
alzhiemers,2016,35.9310165,279,34.9
cancer,2006,192.3755511,4941,2199.043125
cancer,2007,191.5734448,3055,2136.618675
cancer,2008,190.7104595,3352,2113.918875
cancer,2009,189.7936884,3504,2159.318475
cancer,2010,190.985756,2563,2042.982
cancer,2011,189.8919605,2487,2122.4313
cancer,2012,190.3957529,2526,2133.7812
causes,2013,189.8317793,2250,2108.243925
cancer,2014,190.5992007,2187,2102.568975
cancer,2015,190.4701784,2184,2179.1808
cancer,2016,189.9658727,2031,2173.50585
automobile_crashes,2006,15.98130373,139,7.6249878
automobile_crashes,2007,15.29290423,126,4.8541589
automobile_crashes,2008,13.78225308,132,4.0624935
automobile_crashes,2009,12.47019243,256,3.9999936
automobile_crashes,2010,12.06041721,231,2.5624959
automobile_crashes,2011,11.96436684,144,2.1874965
automobile_crashes,2012,12.18518293,146,1.5416642
automobile_crashes,2013,11.76229291,148,1.5208309
automobile_crashes,2014,11.66510174,295,1.7083306
automobile_crashes,2015,12.34370781,142,1.8333304
automobile_crashes,2016,14.20482018,113,2.2499964
diabetes,2006,24.28079006,"1,141",665.23025
diabetes,2007,23.69674799,733,631.3381875
diabetes,2008,23.20105227,762,613.209875
diabetes,2009,22.39614616,779,607.6925625
diabetes,2010,22.3714974,595,594.293375
diabetes,2011,23.69477383,447,577.7414375
diabetes,2012,23.55167039,536,573.8005
diabetes,2013,23.90734115,522,576.1650625
diabetes,2014,23.98817858,463,587.987875
diabetes,2015,24.74497293,450,602.9634375
diabetes,2016,24.74497293,454,581.682375
heart_disease,2006,210.7021869,1436,110.521543
heart_disease,2007,203.5141067,1004,98.611139
heart_disease,2008,201.8875968,1019,93.181396
heart_disease,2009,194.4453587,921,97.735374
heart_disease,2010,192.6677237,616,89.152877
heart_disease,2011,190.2780424,574,90.729254
heart_disease,2012,189.7869875,642,92.655937
heart_disease,2013,192.0255051,683,87.5765
heart_disease,2014,191.2838335,609,89.503183
heart_disease,2015,195.6478466,636,88.977724
heart_disease,2016,194.8066861,628,88.802571
homicide,2006,6.137477512,809,111.81576
homicide,2007,6.01730484,565,126.964992
homicide,2008,5.781107804,422,131.774272
homicide,2009,5.394894387,409,134.65984
homicide,2010,5.184852259,340,122.63664
homicide,2011,5.138130717,362,153.89696
homicide,2012,5.238058164,379,164.958304
homicide,2013,5.017890823,519,185.638208
homicide,2014,4.900314955,614,187.56192
homicide,2015,5.452387636,1728,192.130736
homicide,2016,5.9119076,1467,208.963216
kidney_disease,2006,0.189355911,292,94.232314
kidney_disease,2007,0.17727247,197,93.531702
kidney_disease,2008,0.166724781,201,95.108079
kidney_disease,2009,0.169507256,216,101.238434
kidney_disease,2010,0.173605748,133,100.888128
kidney_disease,2011,0.158219765,158,102.814811
kidney_disease,2012,0.165969002,127,110.696696
kidney_disease,2013,0.158163362,121,111.747614
kidney_disease,2014,0.175313668,135,117.177357
kidney_disease,2015,0.182005522,119,128.387149
kidney_disease,2016,0.160927182,120,133.641739
lower_respiratory_disease,2006,41.7531459,62,0.911404025
lower_respiratory_disease,2007,42.46704758,48,1.18168246
lower_respiratory_disease,2008,46.39684301,24,1.11882701
lower_respiratory_disease,2009,44.77371171,31,0.949117295
lower_respiratory_disease,2010,44.72291353,15,1.137683645
lower_respiratory_disease,2011,45.87506678,15,0.67883886
lower_respiratory_disease,2012,45.70964714,23,0.810835305
lower_respiratory_disease,2013,47.19752885,17,0.74169431
lower_respiratory_disease,2014,46.13383873,23,0.986830565
lower_respiratory_disease,2015,48.23644116,25,0.936546205
lower_respiratory_disease,2016,47.84365112,25,1.1313981
overdose,2006,9.226827575,307,2.191598575
overdose,2007,9.908003987,239,2.841520911
overdose,2008,10.23236351,239,2.690376181
overdose,2009,10.35232967,234,2.282285412
overdose,2010,10.70169312,212,2.7357196
overdose,2011,11.64343426,195,1.632363076
overdose,2012,11.57386908,175,1.949767008
overdose,2013,12.28960955,169,1.783507806
overdose,2014,13.18208244,249,2.37297225
overdose,2015,14.77138146,207,2.252056466
overdose,2016,18.05324451,315,2.720605127
pnuemonia_and_influenza,2006,18.87727616,809,178.526041
pnuemonia_and_influenza,2007,17.50051083,375,160.612357
pnuemonia_and_influenza,2008,18.50875265,377,154.747438
pnuemonia_and_influenza,2009,17.5022761,623,159.714233
pnuemonia_and_influenza,2010,16.22598348,257,85.774306
pnuemonia_and_influenza,2011,17.27451743,211,89.417127
pnuemonia_and_influenza,2012,16.13053051,255,74.381684
pnuemonia_and_influenza,2013,18.02398041,296,70.36193
pnuemonia_and_influenza,2014,17.32030042,264,70.748603
pnuemonia_and_influenza,2015,17.75316081,231,72.888345
pnuemonia_and_influenza,2016,15.94943108,292,72.628615
stroke,2006,27.4894511,2878,17775.9792
stroke,2007,26.97828051,1654,16666.8048
stroke,2008,26.26063287,2068,17075.448
stroke,2009,24.91952244,1734,16900.3152
stroke,2010,24.98011809,1418,17513.28
stroke,2011,24.5089798,1439,20169.4608
stroke,2012,24.13112838,1554,19644.0624
stroke,2013,23.81940232,1363,19848.384
stroke,2014,23.5917627,1151,20519.7264
stroke,2015,23.46875643,1070,21979.1664
stroke,2016,22.47874201,1044,23584.5504
suicide,2006,11.12910041,4620,167.3764
suicide,2007,11.46328773,3497,157.5831
suicide,2008,11.83022487,3027,158.4734
suicide,2009,12.00958907,2293,151.351
suicide,2010,12.40892427,1727,149.5704
suicide,2011,12.66014869,1678,153.1316
suicide,2012,12.9130892,1596,164.7055
suicide,2013,12.98964059,1628,158.4734
suicide,2014,13.41102516,1734,165.5958
suicide,2015,13.73659452,1836,198.5369
suicide,2016,13.89018211,1855,316.9468
terrorism,2006,0,8719,103.39952
terrorism,2007,0,4529,79.112656
terrorism,2008,0,3990,68.051312
terrorism,2009,0,2609,60.596928
terrorism,2010,0,2021,57.470896
terrorism,2011,0,1763,52.421152
terrorism,2012,0,1354,43.043056
terrorism,2013,0.00094898,1692,44.966768
terrorism,2014,0,2072,43.764448
terrorism,2015,0.001555603,3131,64.444352
terrorism,2016,0,2925,60.837392
